t,x(t),v(t),p(t),eKin(t),eSpr(t)
0.1188002,-2.91614,1.405226,14.05226,9.873303,0
0.1194002,-2.915293,1.412225,14.12225,9.971897,0
0.1200002,-2.914441,1.419222,14.19222,10.07095,0
0.1206002,-2.913585,1.426216,14.26216,10.17047,0
0.1212002,-2.912725,1.433209,14.33209,10.27044,0
0.1218002,-2.911861,1.440199,14.40199,10.37087,0
0.1224002,-2.910993,1.447188,14.47188,10.47177,0
0.1230002,-2.91012,1.454174,14.54174,10.57312,0
0.1236002,-2.909244,1.461159,14.61159,10.67492,0
0.1242002,-2.908363,1.468141,14.68141,10.77719,0
0.1248002,-2.907478,1.475121,14.75121,10.87991,0
0.1254002,-2.906589,1.482099,14.82099,10.98308,0
0.1260002,-2.905695,1.489075,14.89075,11.08672,0
0.1266002,-2.904798,1.496048,14.96048,11.1908,0
0.1272002,-2.903896,1.50302,15.0302,11.29534,0
0.1278002,-2.90299,1.509989,15.09989,11.40034,0
0.1284002,-2.90208,1.516956,15.16956,11.50578,0
0.1290002,-2.901165,1.523921,15.23921,11.61168,0
0.1296002,-2.900247,1.530884,15.30884,11.71803,0
0.1302002,-2.899324,1.537845,15.37845,11.82483,0
0.1308002,-2.898397,1.544803,15.44803,11.93208,0
0.1314002,-2.897466,1.551759,15.51759,12.03978,0
0.1320002,-2.896531,1.558713,15.58713,12.14793,0
0.1326002,-2.895591,1.565665,15.65665,12.25653,0
0.1332002,-2.894648,1.572614,15.72614,12.36558,0
0.1338002,-2.8937,1.579561,15.79561,12.47507,0
0.1344002,-2.892748,1.586506,15.86506,12.58501,0
0.1350002,-2.891792,1.593449,15.93449,12.6954,0
0.1356002,-2.890831,1.600389,16.00389,12.80623,0
0.1362002,-2.889867,1.607327,16.07327,12.9175,0
0.1368002,-2.888899,1.614263,16.14263,13.02922,0
0.1374002,-2.887926,1.621196,16.21196,13.14139,0
0.1380001,-2.886949,1.628127,16.28127,13.25399,0
0.1386001,-2.885968,1.635056,16.35056,13.36704,0
0.1392001,-2.884983,1.641982,16.41982,13.48053,0
0.1398001,-2.883993,1.648906,16.48906,13.59446,0
0.1404001,-2.883,1.655828,16.55828,13.70883,0
0.1410001,-2.882002,1.662747,16.62747,13.82363,0
0.1416001,-2.881001,1.669664,16.69664,13.93888,0
0.1422001,-2.879995,1.676578,16.76578,14.05457,0
0.1428001,-2.878984,1.68349,16.8349,14.17069,0
0.1434001,-2.87797,1.6904,16.904,14.28725,0
0.1440001,-2.876952,1.697307,16.97307,14.40425,0
0.1446001,-2.875929,1.704211,17.04211,14.52168,0
0.1452001,-2.874903,1.711114,17.11114,14.63955,0
0.1458001,-2.873872,1.718013,17.18013,14.75785,0
0.1464001,-2.872837,1.724911,17.24911,14.87658,0
0.1470001,-2.871798,1.731805,17.31805,14.99575,0
0.1476001,-2.870754,1.738698,17.38698,15.11535,0
0.1482001,-2.869707,1.745588,17.45588,15.23538,0
0.1488001,-2.868656,1.752475,17.52475,15.35584,0
0.1494001,-2.8676,1.75936,17.5936,15.47673,0
0.1500001,-2.86654,1.766242,17.66242,15.59805,0
0.1506,-2.865476,1.773122,17.73122,15.7198,0
0.1512,-2.864408,1.779999,17.79999,15.84198,0
0.1518,-2.863336,1.786873,17.86873,15.96458,0
0.1524,-2.86226,1.793745,17.93745,16.08761,0
0.153,-2.86118,1.800615,18.00615,16.21107,0
0.1536,-2.860095,1.807482,18.07482,16.33495,0
0.1542,-2.859006,1.814346,18.14346,16.45925,0
0.1548,-2.857914,1.821207,18.21207,16.58398,0
0.1554,-2.856817,1.828066,18.28066,16.70913,0
0.156,-2.855716,1.834923,18.34923,16.83471,0
0.1566,-2.854611,1.841776,18.41776,16.9607,0
0.1572,-2.853502,1.848627,18.48627,17.08712,0
0.1578,-2.852389,1.855476,18.55476,17.21395,0
0.1584,-2.851271,1.862322,18.62322,17.34121,0
0.159,-2.85015,1.869165,18.69165,17.46888,0
0.1596,-2.849024,1.876005,18.76005,17.59697,0
0.1602,-2.847894,1.882843,18.82843,17.72548,0
0.1608,-2.846761,1.889678,18.89678,17.85441,0
0.1614,-2.845623,1.89651,18.9651,17.98375,0
0.162,-2.844481,1.903339,19.03339,18.1135,0
0.1626,-2.843334,1.910166,19.10166,18.24367,0
0.1631999,-2.842184,1.91699,19.1699,18.37426,0
0.1637999,-2.84103,1.923811,19.23811,18.50525,0
0.1643999,-2.839872,1.93063,19.3063,18.63666,0
0.1649999,-2.838709,1.937446,19.37445,18.76848,0
0.1655999,-2.837543,1.944258,19.44258,18.9007,0
