t,x(t),v(t),p(t),eKin(t)
0.4099965,10,0,0,0
0.4104965,10,0,0,0
0.4109965,10,0,0,0
0.4114965,10,0,0,0
0.4119965,10,0,0,0
0.4124965,10,0,0,0
0.4129965,10,0,0,0
0.4134965,10,0,0,0
0.4139965,10,0,0,0
0.4144965,10,0,0,0
0.4149964,10,0,0,0
0.4154964,10,0,0,0
0.4159964,10,0,0,0
0.4164964,10,0,0,0
0.4169964,10,0,0,0
0.4174964,10,0,0,0
0.4179964,10,0,0,0
0.4184964,10,0,0,0
0.4189964,10,0,0,0
0.4194964,10,0,0,0
0.4199964,10,0,0,0
0.4204964,10,0,0,0
0.4209964,10,0,0,0
0.4214964,10,0,0,0
0.4219964,10,0,0,0
0.4224963,10,0,0,0
0.4229963,10,0,0,0
0.4234963,10,0,0,0
0.4239963,10,0,0,0
0.4244963,10,0,0,0
0.4249963,10,0,0,0
0.4254963,10,0,0,0
0.4259963,10,0,0,0
0.4264963,10,0,0,0
0.4269963,10,0,0,0
0.4274963,10,0,0,0
0.4279963,10,0,0,0
0.4284963,10,0,0,0
0.4289963,10,0,0,0
0.4294963,10,0,0,0
0.4299963,10,0,0,0
0.4304962,10,0,0,0
0.4309962,10,0,0,0
0.4314962,10,0,0,0
0.4319962,10,0,0,0
0.4324962,10,0,0,0
0.4329962,10,0,0,0
0.4334962,10,0,0,0
0.4339962,10,0,0,0
0.4344962,10,0,0,0
0.4349962,10,0,0,0
0.4354962,10,0,0,0
0.4359962,10,0,0,0
0.4364962,10,0,0,0
0.4369962,10,0,0,0
0.4374962,10,0,0,0
0.4379961,10,0,0,0
0.4384961,10,0,0,0
0.4389961,10,0,0,0
0.4394961,10,0,0,0
0.4399961,10,0,0,0
0.4404961,10,0,0,0
0.4409961,10,0,0,0
0.4414961,10,0,0,0
0.4419961,10,0,0,0
0.4424961,10,0,0,0
0.4429961,10,0,0,0
0.4434961,10,0,0,0
0.4439961,10,0,0,0
0.4444961,10,0,0,0
0.4449961,10,0,0,0
0.4454961,10,0,0,0
0.445996,10,0,0,0
0.446496,10,0,0,0
0.446996,10,0,0,0
0.447496,10,0,0,0
0.447996,10,0,0,0
0.448496,10,0,0,0
0.448996,10,0,0,0
0.449496,10,0,0,0
0.449996,10,0,0,0
0.450496,10,0,0,0
0.450996,10,0,0,0
0.451496,10,0,0,0
0.451996,10,0,0,0
0.452496,10,0,0,0
0.452996,10,0,0,0
0.4534959,10,0,0,0
0.4539959,10,0,0,0
0.4544959,10,0,0,0
0.4549959,10,0,0,0
0.4554959,10,0,0,0
0.4559959,10,0,0,0
0.4564959,10,0,0,0
0.4569959,10,0,0,0
0.4574959,10,0,0,0
0.4579959,10,0,0,0
0.4584959,10,0,0,0
0.4589959,10,0,0,0
0.4594959,10,0,0,0
0.4599959,10,0,0,0
0.4604959,10,0,0,0
0.4609959,10,0,0,0
0.4614958,10,0,0,0
0.4619958,10,0,0,0
0.4624958,10,0,0,0
0.4629958,10,0,0,0
0.4634958,10,0,0,0
0.4639958,10,0,0,0
0.4644958,10,0,0,0
0.4649958,10,0,0,0
0.4654958,10,0,0,0
0.4659958,10,0,0,0
0.4664958,10,0,0,0
0.4669958,10,0,0,0
0.4674958,10,0,0,0
0.4679958,10,0,0,0
0.4684958,10,0,0,0
0.4689957,10,0,0,0
0.4694957,10,0,0,0
0.4699957,10,0,0,0
0.4704957,10,0,0,0
0.4709957,10,0,0,0
0.4714957,10,0,0,0
0.4719957,10,0,0,0
0.4724957,10,0,0,0
0.4729957,10,0,0,0
0.4734957,10,0,0,0
0.4739957,10,0,0,0
0.4744957,10,0,0,0
0.4749957,10,0,0,0
0.4754957,10,0,0,0
0.4759957,10,0,0,0
0.4764957,10,0,0,0
0.4769956,10,0,0,0
0.4774956,10,0,0,0
0.4779956,10,0,0,0
0.4784956,10,0,0,0
0.4789956,10,0,0,0
0.4794956,10,0,0,0
0.4799956,10,0,0,0
0.4804956,10,0,0,0
0.4809956,10,0,0,0
0.4814956,10,0,0,0
0.4819956,10,0,0,0
0.4824956,10,0,0,0
0.4829956,10,0,0,0
0.4834956,10,0,0,0
0.4839956,10,0,0,0
0.4844956,10,0,0,0
0.4849955,10,0,0,0
0.4854955,10,0,0,0
0.4859955,10,0,0,0
0.4864955,10,0,0,0
0.4869955,10,0,0,0
0.4874955,10,0,0,0
0.4879955,10,0,0,0
0.4884955,10,0,0,0
0.4889955,10,0,0,0
0.4894955,10,0,0,0
0.4899955,10,0,0,0
0.4904955,10,0,0,0
0.4909955,10,0,0,0
0.4914955,10,0,0,0
0.4919955,10,0,0,0
0.4924954,10,0,0,0
0.4929954,10,0,0,0
0.4934954,10,0,0,0
0.4939954,10,0,0,0
0.4944954,10,0,0,0
0.4949954,10,0,0,0
0.4954954,10,0,0,0
0.4959954,10,0,0,0
0.4964954,10,0,0,0
0.4969954,10,0,0,0
0.4974954,10,0,0,0
0.4979954,10,0,0,0
0.4984954,10,0,0,0
0.4989954,10,0,0,0
0.4994954,10,0,0,0
0.4999954,10,0,0,0
0.5004954,10,0,0,0
0.5009954,10,0,0,0
0.5014954,10,0,0,0
0.5019954,10,0,0,0
