t,x(t),v(t)
6.979994,-7.32793,-1.587146
6.999994,-7.359673,-1.587146
7.019994,-7.391416,-1.587146
7.039994,-7.423159,-1.587146
7.059994,-7.454902,-1.587146
7.079994,-7.486645,-1.587146
7.099994,-7.518388,-1.587146
7.119994,-7.550131,-1.587146
7.139994,-7.581874,-1.587146
7.159994,-7.613617,-1.587146
7.179994,-7.64536,-1.587146
7.199994,-7.677104,-1.587146
7.219994,-7.708847,-1.587146
7.239994,-7.74059,-1.587146
7.259994,-7.772333,-1.587146
7.279994,-7.804076,-1.587146
7.299994,-7.835819,-1.587146
7.319994,-7.867562,-1.587146
7.339994,-7.899305,-1.587146
7.359994,-7.931048,-1.587146
7.379994,-7.962791,-1.587146
7.399994,-7.994534,-1.587146
7.419994,-8.026277,-1.587146
7.439994,-8.05802,-1.587146
7.459994,-8.089763,-1.587146
7.479994,-8.121506,-1.587146
7.499994,-8.153249,-1.587146
7.519994,-8.184992,-1.587146
7.539994,-8.216735,-1.587146
7.559994,-8.248478,-1.587146
7.579994,-8.280221,-1.587146
7.599994,-8.311964,-1.587146
7.619994,-8.343707,-1.587146
7.639994,-8.37545,-1.587146
7.659994,-8.407193,-1.587146
7.679994,-8.438936,-1.587146
7.699994,-8.470679,-1.587146
7.719994,-8.502422,-1.587146
7.739994,-8.534165,-1.587146
7.759994,-8.565908,-1.587146
7.779994,-8.597651,-1.587146
7.799994,-8.629395,-1.587146
7.819993,-8.661138,-1.587146
7.839993,-8.692881,-1.587146
7.859993,-8.724624,-1.587146
7.879993,-8.756367,-1.587146
7.899993,-8.78811,-1.587146
7.919993,-8.819853,-1.587146
7.939993,-8.851596,-1.587146
7.959993,-8.883339,-1.587146
7.979993,-8.915082,-1.587146
7.999993,-8.946825,-1.587146
8.019994,-8.978568,-1.587146
8.039994,-9.010311,-1.587146
8.059995,-9.042054,-1.587146
8.079995,-9.073797,-1.587146
8.099996,-9.10554,-1.587146
8.119996,-9.137283,-1.587146
8.139997,-9.169026,-1.587146
8.159997,-9.200769,-1.587146
8.179997,-9.232512,-1.587146
8.199998,-9.264256,-1.587146
8.219998,-9.295999,-1.587146
8.239999,-9.327742,-1.587146
8.259999,-9.359485,-1.587146
8.28,-9.391228,-1.587146
8.3,-9.422971,-1.587146
8.320001,-9.454714,-1.587146
8.340001,-9.486457,-1.587146
8.360002,-9.5182,-1.587146
8.380002,-9.549943,-1.587146
8.400002,-9.581686,-1.587146
8.420003,-9.613429,-1.587146
8.440003,-9.645172,-1.587146
8.460004,-9.676915,-1.587146
8.480004,-9.708658,-1.587146
8.500005,-9.740401,-1.587146
8.520005,-9.772144,-1.587146
8.540006,-9.803887,-1.587146
8.560006,-9.83563,-1.587146
8.580007,-9.867373,-1.587146
8.600007,-9.899117,-1.587146
8.620008,-9.93086,-1.587146
8.640008,-9.962603,-1.587146
8.660008,-9.994346,-1.587146
8.680009,-10.02609,-1.587146
8.700009,-10.05783,-1.587146
8.72001,-10.08957,-1.587146
8.74001,-10.12132,-1.587146
8.760011,-10.15306,-1.587146
8.780011,-10.1848,-1.587146
